Operating Systems 1, 3001, 50
1, D, 2-10-2021
2, D, 3-10-2021
3, P, 4-10-2021
4, D, 5-10-2021
5, D, 6-10-2021
6, P, 7-10-2021
7, D, 8-10-2021
8, D, 9-10-2021
9, P, 10-10-2021
10, D, 11-10-2021
11, D, 12-10-2021
12, P, 13-10-2021
13, D, 14-10-2021
14, D, 15-10-2021
15, P, 16-10-2021
16, D, 17-10-2021
17, D, 18-10-2021
18, P, 19-10-2021
19, D, 20-10-2021
20, D, 21-10-2021
21, P, 22-10-2021
22, D, 23-10-2021
23, D, 24-10-2021
24, P, 25-10-2021
25, D, 26-10-2021
26, D, 27-10-2021
27, P, 28-10-2021
28, D, 1-10-2021
29, D, 2-10-2021
30, P, 3-10-2021
31, D, 4-10-2021
32, D, 5-10-2021
33, P, 6-10-2021
34, D, 7-10-2021
35, D, 8-10-2021
36, P, 9-10-2021
37, D, 10-10-2021
38, D, 11-10-2021
39, P, 12-10-2021
40, D, 13-10-2021
41, D, 14-10-2021
42, P, 15-10-2021
43, D, 16-10-2021
44, D, 17-10-2021
45, P, 18-10-2021
46, D, 19-10-2021
47, D, 20-10-2021
48, P, 21-10-2021
49, D, 22-10-2021
50, D, 23-10-2021

Operating Systems 2, 3002, 50
1, D, 2-10-2021
2, D, 3-10-2021
3, P, 4-10-2021
4, D, 5-10-2021
5, D, 6-10-2021
6, P, 7-10-2021
7, D, 8-10-2021
8, D, 9-10-2021
9, P, 10-10-2021
10, D, 11-10-2021
11, D, 12-10-2021
12, P, 13-10-2021
13, D, 14-10-2021
14, D, 15-10-2021
15, P, 16-10-2021
16, D, 17-10-2021
17, D, 18-10-2021
18, P, 19-10-2021
19, D, 20-10-2021
20, D, 21-10-2021
21, P, 22-10-2021
22, D, 23-10-2021
23, D, 24-10-2021
24, P, 25-10-2021
25, D, 26-10-2021
26, D, 27-10-2021
27, P, 28-10-2021
28, D, 1-10-2021
29, D, 2-10-2021
30, P, 3-10-2021
31, D, 4-10-2021
32, D, 5-10-2021
33, P, 6-10-2021
34, D, 7-10-2021
35, D, 8-10-2021
36, P, 9-10-2021
37, D, 10-10-2021
38, D, 11-10-2021
39, P, 12-10-2021
40, D, 13-10-2021
41, D, 14-10-2021
42, P, 15-10-2021
43, D, 16-10-2021
44, D, 17-10-2021
45, P, 18-10-2021
46, D, 19-10-2021
47, D, 20-10-2021
48, P, 21-10-2021
49, D, 22-10-2021
50, D, 23-10-2021

Operating Systems 3, 3003, 50
1, D, 2-10-2021
2, D, 3-10-2021
3, P, 4-10-2021
4, D, 5-10-2021
5, D, 6-10-2021
6, P, 7-10-2021
7, D, 8-10-2021
8, D, 9-10-2021
9, P, 10-10-2021
10, D, 11-10-2021
11, D, 12-10-2021
12, P, 13-10-2021
13, D, 14-10-2021
14, D, 15-10-2021
15, P, 16-10-2021
16, D, 17-10-2021
17, D, 18-10-2021
18, P, 19-10-2021
19, D, 20-10-2021
20, D, 21-10-2021
21, P, 22-10-2021
22, D, 23-10-2021
23, D, 24-10-2021
24, P, 25-10-2021
25, D, 26-10-2021
26, D, 27-10-2021
27, P, 28-10-2021
28, D, 1-10-2021
29, D, 2-10-2021
30, P, 3-10-2021
31, D, 4-10-2021
32, D, 5-10-2021
33, P, 6-10-2021
34, D, 7-10-2021
35, D, 8-10-2021
36, P, 9-10-2021
37, D, 10-10-2021
38, D, 11-10-2021
39, P, 12-10-2021
40, D, 13-10-2021
41, D, 14-10-2021
42, P, 15-10-2021
43, D, 16-10-2021
44, D, 17-10-2021
45, P, 18-10-2021
46, D, 19-10-2021
47, D, 20-10-2021
48, P, 21-10-2021
49, D, 22-10-2021
50, D, 23-10-2021

Operating Systems 4, 3004, 50
1, D, 2-10-2021
2, D, 3-10-2021
3, P, 4-10-2021
4, D, 5-10-2021
5, D, 6-10-2021
6, P, 7-10-2021
7, D, 8-10-2021
8, D, 9-10-2021
9, P, 10-10-2021
10, D, 11-10-2021
11, D, 12-10-2021
12, P, 13-10-2021
13, D, 14-10-2021
14, D, 15-10-2021
15, P, 16-10-2021
16, D, 17-10-2021
17, D, 18-10-2021
18, P, 19-10-2021
19, D, 20-10-2021
20, D, 21-10-2021
21, P, 22-10-2021
22, D, 23-10-2021
23, D, 24-10-2021
24, P, 25-10-2021
25, D, 26-10-2021
26, D, 27-10-2021
27, P, 28-10-2021
28, D, 1-10-2021
29, D, 2-10-2021
30, P, 3-10-2021
31, D, 4-10-2021
32, D, 5-10-2021
33, P, 6-10-2021
34, D, 7-10-2021
35, D, 8-10-2021
36, P, 9-10-2021
37, D, 10-10-2021
38, D, 11-10-2021
39, P, 12-10-2021
40, D, 13-10-2021
41, D, 14-10-2021
42, P, 15-10-2021
43, D, 16-10-2021
44, D, 17-10-2021
45, P, 18-10-2021
46, D, 19-10-2021
47, D, 20-10-2021
48, P, 21-10-2021
49, D, 22-10-2021
50, D, 23-10-2021

Operating Systems 5, 3005, 50
1, D, 2-10-2021
2, D, 3-10-2021
3, P, 4-10-2021
4, D, 5-10-2021
5, D, 6-10-2021
6, P, 7-10-2021
7, D, 8-10-2021
8, D, 9-10-2021
9, P, 10-10-2021
10, D, 11-10-2021
11, D, 12-10-2021
12, P, 13-10-2021
13, D, 14-10-2021
14, D, 15-10-2021
15, P, 16-10-2021
16, D, 17-10-2021
17, D, 18-10-2021
18, P, 19-10-2021
19, D, 20-10-2021
20, D, 21-10-2021
21, P, 22-10-2021
22, D, 23-10-2021
23, D, 24-10-2021
24, P, 25-10-2021
25, D, 26-10-2021
26, D, 27-10-2021
